Emission Probabilities
P(E_t)=_ | X_t = _) 0.999714593076
P(E_t)=a | X_t = _) 1.09771894004e-05
P(E_t)=c | X_t = _) 1.09771894004e-05
P(E_t)=b | X_t = _) 1.09771894004e-05
P(E_t)=e | X_t = _) 1.09771894004e-05
P(E_t)=d | X_t = _) 1.09771894004e-05
P(E_t)=g | X_t = _) 1.09771894004e-05
P(E_t)=f | X_t = _) 1.09771894004e-05
P(E_t)=i | X_t = _) 1.09771894004e-05
P(E_t)=h | X_t = _) 1.09771894004e-05
P(E_t)=k | X_t = _) 1.09771894004e-05
P(E_t)=j | X_t = _) 1.09771894004e-05
P(E_t)=m | X_t = _) 1.09771894004e-05
P(E_t)=l | X_t = _) 1.09771894004e-05
P(E_t)=o | X_t = _) 1.09771894004e-05
P(E_t)=n | X_t = _) 1.09771894004e-05
P(E_t)=q | X_t = _) 1.09771894004e-05
P(E_t)=p | X_t = _) 1.09771894004e-05
P(E_t)=s | X_t = _) 1.09771894004e-05
P(E_t)=r | X_t = _) 1.09771894004e-05
P(E_t)=u | X_t = _) 1.09771894004e-05
P(E_t)=t | X_t = _) 1.09771894004e-05
P(E_t)=w | X_t = _) 1.09771894004e-05
P(E_t)=v | X_t = _) 1.09771894004e-05
P(E_t)=y | X_t = _) 1.09771894004e-05
P(E_t)=x | X_t = _) 1.09771894004e-05
P(E_t)=z | X_t = _) 1.09771894004e-05
P(E_t)=_ | X_t = a) 2.97725378111e-05
P(E_t)=a | X_t = a) 0.80549601048
P(E_t)=c | X_t = a) 2.97725378111e-05
P(E_t)=b | X_t = a) 2.97725378111e-05
P(E_t)=e | X_t = a) 2.97725378111e-05
P(E_t)=d | X_t = a) 2.97725378111e-05
P(E_t)=g | X_t = a) 2.97725378111e-05
P(E_t)=f | X_t = a) 2.97725378111e-05
P(E_t)=i | X_t = a) 2.97725378111e-05
P(E_t)=h | X_t = a) 2.97725378111e-05
P(E_t)=k | X_t = a) 2.97725378111e-05
P(E_t)=j | X_t = a) 2.97725378111e-05
P(E_t)=m | X_t = a) 2.97725378111e-05
P(E_t)=l | X_t = a) 2.97725378111e-05
P(E_t)=o | X_t = a) 2.97725378111e-05
P(E_t)=n | X_t = a) 2.97725378111e-05
P(E_t)=q | X_t = a) 0.0691616053352
P(E_t)=p | X_t = a) 2.97725378111e-05
P(E_t)=s | X_t = a) 0.062730737168
P(E_t)=r | X_t = a) 2.97725378111e-05
P(E_t)=u | X_t = a) 2.97725378111e-05
P(E_t)=t | X_t = a) 2.97725378111e-05
P(E_t)=w | X_t = a) 2.97725378111e-05
P(E_t)=v | X_t = a) 2.97725378111e-05
P(E_t)=y | X_t = a) 2.97725378111e-05
P(E_t)=x | X_t = a) 2.97725378111e-05
P(E_t)=z | X_t = a) 0.0619268786471
P(E_t)=_ | X_t = c) 6.34195839675e-05
P(E_t)=a | X_t = c) 6.34195839675e-05
P(E_t)=c | X_t = c) 0.789446981228
P(E_t)=b | X_t = c) 6.34195839675e-05
P(E_t)=e | X_t = c) 6.34195839675e-05
P(E_t)=d | X_t = c) 0.0582825976662
P(E_t)=g | X_t = c) 6.34195839675e-05
P(E_t)=f | X_t = c) 0.0462962962963
P(E_t)=i | X_t = c) 6.34195839675e-05
P(E_t)=h | X_t = c) 6.34195839675e-05
P(E_t)=k | X_t = c) 6.34195839675e-05
P(E_t)=j | X_t = c) 6.34195839675e-05
P(E_t)=m | X_t = c) 6.34195839675e-05
P(E_t)=l | X_t = c) 6.34195839675e-05
P(E_t)=o | X_t = c) 6.34195839675e-05
P(E_t)=n | X_t = c) 6.34195839675e-05
