Transitoin Probabilities
P(X_t+1)=_ | X_t=_) 1.09771894004e-05
P(X_t+1)=a | X_t=_) 0.119750159169
P(X_t+1)=c | X_t=_) 0.0426902895783
P(X_t+1)=b | X_t=_) 0.0450613624887
P(X_t+1)=e | X_t=_) 0.0246108586358
P(X_t+1)=d | X_t=_) 0.0299457726844
P(X_t+1)=g | X_t=_) 0.0154229511076
P(X_t+1)=f | X_t=_) 0.0299457726844
P(X_t+1)=i | X_t=_) 0.0788491514633
P(X_t+1)=h | X_t=_) 0.0435794419197
P(X_t+1)=k | X_t=_) 0.00238205009989
P(X_t+1)=j | X_t=_) 0.00149289775846
P(X_t+1)=m | X_t=_) 0.0486179718545
P(X_t+1)=l | X_t=_) 0.0388372960987
P(X_t+1)=o | X_t=_) 0.0895189795605
P(X_t+1)=n | X_t=_) 0.0207578651562
P(X_t+1)=q | X_t=_) 0.000603745417023
P(X_t+1)=p | X_t=_) 0.041504753123
P(X_t+1)=s | X_t=_) 0.0705503962765
P(X_t+1)=r | X_t=_) 0.0225361698391
P(X_t+1)=u | X_t=_) 0.00801334826231
P(X_t+1)=t | X_t=_) 0.168060769721
P(X_t+1)=w | X_t=_) 0.0515818129926
P(X_t+1)=v | X_t=_) 0.00534589123801
P(X_t+1)=y | X_t=_) 0.000307361303212
P(X_t+1)=x | X_t=_) 1.09771894004e-05
P(X_t+1)=z | X_t=_) 1.09771894004e-05
P(X_t+1)=_ | X_t=a) 0.0611230201262
P(X_t+1)=a | X_t=a) 2.97725378111e-05
P(X_t+1)=c | X_t=a) 0.0554960104799
P(X_t+1)=b | X_t=a) 0.0241455281648
P(X_t+1)=e | X_t=a) 2.97725378111e-05
P(X_t+1)=d | X_t=a) 0.0249493866857
P(X_t+1)=g | X_t=a) 0.0185185185185
P(X_t+1)=f | X_t=a) 0.00726449922591
P(X_t+1)=i | X_t=a) 0.030576396332
P(X_t+1)=h | X_t=a) 0.000833631058711
P(X_t+1)=k | X_t=a) 0.0249493866857
P(X_t+1)=j | X_t=a) 0.00244134810051
P(X_t+1)=m | X_t=a) 0.0209300940812
P(X_t+1)=l | X_t=a) 0.152762891509
